"","age","gender","residence","length_residency","n_family","n_friends","n_acquaintances","B","CON","NE","EE","NE_cent","EE_cent","talk"
"64",67,"Mannelijk","Reitdiep",20,0,0,4,1.75,2,1.5,1.75,-1.34953703703704,-0.824074074074074,1
"65",67,"Vrouwelijk","Reitdiep",220,0,4,6,2.75,3.25,2,2.75,-0.849537037037037,0.175925925925926,3
"66",77,"Vrouwelijk","Reitdiep",222,0,2,4,5.75,2,3,2.75,0.150462962962963,0.175925925925926,4
"67",NA,"","Van Starkenborgh (car)",NA,0,3,8,5.5,5,3.5,2.75,0.650462962962963,0.175925925925926,NA
"68",45,"Vrouwelijk","Van Starkenborgh (car)",60,0,6,6,5.75,4,2.25,2.75,-0.599537037037037,0.175925925925926,1
"69",45,"Mannelijk","Van Starkenborgh (car)",48,0,6,10,4,2.25,1.5,2.75,-1.34953703703704,0.175925925925926,2
"70",43,"Vrouwelijk","Van Starkenborgh (car)",60,0,8,12,4.5,3.5,3.25,3.25,0.400462962962963,0.675925925925926,3
"71",51,"Vrouwelijk","Van Starkenborgh (car)",200,0,3,30,5,3.25,2.5,2.5,-0.349537037037037,-0.074074074074074,3
"72",43,"Mannelijk","Van Starkenborgh (car)",120,0,4,15,4.75,3.75,3.75,2.75,0.900462962962963,0.175925925925926,3
"73",45,"Vrouwelijk","Reitdiep",220,0,20,50,2.25,2.5,2.5,1.75,-0.349537037037037,-0.824074074074074,3
"74",44,"Vrouwelijk","Reitdiep",223,3,4,20,5.75,3.25,3.25,2.75,0.400462962962963,0.175925925925926,4
"75",34,"Mannelijk","Van Starkenborgh (car)",16,0,0,3,3.75,3.5,2,2.25,-0.849537037037037,-0.324074074074074,2
"76",28,"Vrouwelijk","Van Starkenborgh (car)",16,0,0,4,4.25,2.25,2,3,-0.849537037037037,0.425925925925926,1
"77",NA,"","Van Starkenborgh (car)",NA,0,5,20,3,3.25,2.5,2.5,-0.349537037037037,-0.074074074074074,NA
"78",NA,"","Van Starkenborgh (car)",NA,0,2,6,4,2.75,2.25,2,-0.599537037037037,-0.574074074074074,NA
"79",59,"Vrouwelijk","Van Starkenborgh (car)",228,0,4,20,4,1.5,1.75,2.25,-1.09953703703704,-0.324074074074074,1
"80",NA,"","Reitdiep",NA,0,2,10,5,4.75,3.25,2.25,0.400462962962963,-0.324074074074074,NA
"81",21,"Vrouwelijk","Van Starkenborgh (car)",216,3,2,50,4.25,3.5,3,2.5,0.150462962962963,-0.074074074074074,3
"82",NA,"","Reitdiep",NA,0,7,25,6,4.25,3,2.25,0.150462962962963,-0.324074074074074,NA
"83",64,"Mannelijk","Van Starkenborgh (car)",230,0,0,3,6,3.75,3.75,2.25,0.900462962962963,-0.324074074074074,1
"84",NA,"","Reitdiep",NA,1,1,10,4.5,3.75,3.5,2.75,0.650462962962963,0.175925925925926,NA
"85",NA,"","Reitdiep",NA,2,0,20,5,4,4,3.75,1.15046296296296,1.17592592592593,NA
"86",NA,"","Van Starkenborgh (car)",NA,0,0,2,3.5,4.5,3.25,2.5,0.400462962962963,-0.074074074074074,NA
"87",25,"Vrouwelijk","Oosterpoort",20,0,5,30,3.5,3.75,2.75,2.5,-0.0995370370370372,-0.074074074074074,2
"88",55,"Mannelijk","Reitdiep",220,0,10,30,4,4.25,4,3.5,1.15046296296296,0.925925925925926,2
"89",NA,"","Oosterpoort",NA,1,0,4,4.5,3.75,3,2.5,0.150462962962963,-0.074074074074074,NA
"90",23,"Vrouwelijk","Oosterpoort",6,0,2,6,6,5,4.5,3.75,1.65046296296296,1.17592592592593,1
"91",NA,"","Reitdiep",NA,0,6,20,3,3.25,3.5,2.75,0.650462962962963,0.175925925925926,NA
"92",56,"Mannelijk","Reitdiep",236,4,4,10,3.5,3.75,2.75,2.5,-0.0995370370370372,-0.074074074074074,3
"93",72,"Mannelijk","Reitdiep",200,0,3,10,4.5,2.25,1.75,1.5,-1.09953703703704,-1.07407407407407,1
"94",37,"Mannelijk","Van Starkenborgh (car)",89,0,0,0,6,3.75,2.5,2.25,-0.349537037037037,-0.324074074074074,1
"95",72,"Vrouwelijk","Oosterpoort",5,0,0,0,5.75,4,3,2.75,0.150462962962963,0.175925925925926,1
"96",25,"Mannelijk","Oosterpoort",31,0,3,0,4.75,3.5,2,2.75,-0.849537037037037,0.175925925925926,1
"97",NA,"","Oosterpoort",NA,0,0,10,6,4.75,2.25,2.5,-0.599537037037037,-0.074074074074074,NA
"98",28,"Mannelijk","Oosterpoort",120,1,0,0,2.25,5,2.75,2.75,-0.0995370370370372,0.175925925925926,1
"99",54,"Vrouwelijk","Van Starkenborgh (car)",67,0,3,8,6,4.25,3.75,3,0.900462962962963,0.425925925925926,3
"100",31,"Mannelijk","Oosterpoort",11,0,2,2,4.5,3.75,3.5,3,0.650462962962963,0.425925925925926,1
"101",62,"Mannelijk","Reitdiep",216,0,20,50,6,5,3,2.25,0.150462962962963,-0.324074074074074,4
